,name_company,description,activity,rating
0,RUVDS.com,VDS/VPS-хостинг. Скидка 15% по коду HABR15,  Читальный зал DIY или Сделай самНаучно-популярноеЭлектроника для начинающихСистемное администрирование,2393.91
1,Selectel,IT-инфраструктура для бизнеса,  Компьютерное железо ГаджетыIT-инфраструктураIT-компанииПроизводство и разработка электроники,1935.27
2,Timeweb Cloud,Облачная платформа для разработчиков и бизнеса,  Читальный зал Научно-популярноеJavaScriptDIY или Сделай самИстория IT,1542.55
3,OTUS,Цифровые навыки от ведущих экспертов,  Программирование JavaМашинное обучениеТестирование веб-сервисовPython,832.56
4,Яндекс,Как мы делаем Яндекс,  Машинное обучение Open sourceВысокая производительностьПрограммированиеИнтерфейсы,721.53
5,Open Data Science,Крупнейшее русскоязычное Data Science сообщество,  Машинное обучение Искусственный интеллектNatural Language ProcessingOpen sourceBig Data,612.13
6,ГК ЛАНИТ,Ведущая многопрофильная группа ИТ-компаний в РФ,  Управление проектами Карьера в IT-индустрииУправление персоналомМашинное обучениеПрограммирование,569.92
7,VK,"Технологии, которые объединяют",  Big Data Машинное обучениеDevOpsTarantoolОблачные сервисы,536.95
8,getmatch,"Рассказываем о том, как строить карьеру в IT",  Карьера в IT-индустрии Лайфхаки для гиковЧитальный залIT-эмиграцияУрбанизм,436.91
9,Wiren Board,Оборудование для автоматизации и мониторинга,  Умный дом Интернет вещейИнженерные системыDIY или Сделай самКомпьютерное железо,411.66
10,FirstVDS,Виртуальные и выделенные серверы в ДЦ в Москве,  Научно-популярное Системное администрированиеЧитальный залИнформационная безопасностьIT-инфраструктура,398.02
11,Конференции Олега Бунина (Онтико),Профессиональные конференции для IT-разработчиков,  Управление разработкой КонференцииDevOpsУправление проектамиКарьера в IT-индустрии,360.51
12,AGIMA,Крупнейший интегратор digital-решений,  Карьера в IT-индустрии Управление проектамиКонференцииУправление персоналомУправление продуктом,336.45
13,Альфа-Банк,Лучший мобильный банк по версии Markswebb,  Конференции Анализ и проектирование системМашинное обучениеJavaScriptКарьера в IT-индустрии,311.6
14,Postgres Professional,Разработчик СУБД Postgres Pro,  PostgreSQL SQLАдминистрирование баз данныхOpen sourceХранение данных,305.42
15,Ozon Tech,Стремимся делать лучший e-commerce в России,  Конференции Высокая производительностьGoТестирование веб-сервисовПрограммирование,282.75
16,TINKOFF,IT’s Tinkoff — просто о сложном,  Разработка под Android Машинное обучениеТестирование IT-системРазработка мобильных приложенийOpen source,282.47
17,Хабр Карьера,Помогаем строить карьеру в IT,  Карьера в IT-индустрии Управление персоналомИсследования и прогнозы в ITБлог компании ХабрФинансы в IT,280.33
18,JUG Ru Group,Конференции для Senior-разработчиков,  Конференции JavaТестирование IT-системРазработка мобильных приложенийJavaScript,276.72
19,Southbridge,Обеспечиваем стабильную работу highload-проектов,  IT-инфраструктура DevOpsСистемное администрированиеКарьера в IT-индустрииПрограммирование,272.35
